text,label
doa rezeki putus inna haa zaa larizquna maa lahu min na fadesungguhnya beri p,+
makasih loh ntar hasil 99 9 sisa,+
satu satu nomor satu satu satu,+
i dont know why but these zikir bantu pon hasil retweetambil usaha doa insha alla,+
aah mas suka ayom,+
bantu nabung,+
peduli hidup punya pilih lihat sisi baik sisi buruk,+
dah tahu pengantin gelak natural hahahahahahahahahahaha,+
cara mintak maaf 3 1 minta maaf 2 salah 3 betul ba,+
yuk netweetjen bantu,+
allah tuhan lindung dua ibu bapa jauh,+
giveaway hari umur tambah rules ucap wish screenshoo,+
allah tuhan lindung dua ibu bapa jauh,+
selamat hari jumat bikin rindu kumat,+
diremes enyot ngedusel dusel nenen mantap,+
hi rakyat2 akhirnyauga postelca give away album love yourself answerealed versionnya pilihendiri e,+
pilih salah satu nyaman,+
jugaaa yuk bareng,+
mini giveaway hubung ultah rezeki pulsa 10k like mutualan bgt doain undi j,+
mantan brengsek dilupain ingat salah pilih bego bego,+
aryana tolong bukak mata besar besar pilih syafiq biar sofea bahagia adrian pls laaaaaaaa murung,+
cita cita setinggi bintang langit lupa anak tangga rencana cendekiabijak,+
cantik confess kat crush peluang kena reject tu nipis sel epidermis bawang je tang ni confess hmm,+
cnta kmu tuh kyk fto albm g dbalk2 ttp aj g brbh sma ky km g prnh brbh untk mnjdi trbaik untk,+
yakin indonesia damai pimpin beliau,+
nk walk in ajelah senang,+
sentiasa ingat tunjuk gembira kecewa moga sentiasa ingat,+
temen temen jatinangor tolong beli jual bapak beliau jual kain lap keset dsb,+
hahaa ngerti tp asal jwb,+
kelak orangtua laku yakin anak percaya ayah tidur siang men,+
hibur hahahahahahahahahahahaha,+
okay but the bahasa melayu names for our malaysian birds mudah hibur contoh burung rek ber,+
lucu emang temenan ig,+
lhaa kaann ancene arek e kurang pinter wayah e konco terus ambk arek e sopo ngerti ciprat rejeki,+
give away time raya ulang tahun namjoon ulang tahun adain give away photocard album lov,+
jugaa,+
tempat singgah terakhirebesar harap mengecew,+
lahir jogja jogja juluk kota hati nyaman pantes langsung pake hati nyaman dikit,+
guys jumpa ayat guna guna time korang tengah putus asa sabar terbahagi dua iaitu sabar,+
fresh grad tgh cari kerja try amal zikir doa ni alhamdulillah lepas amal ni pon dpt,+
akhlak baik engga harga melindun,+
istri daniel,+
hihihihi look at the face lepas taknak bau ikan mandi namau nameow catsoftwit,+
