kecil hati,tidak bahagia
malu,tidak bahagia
simpati,tidak bahagia
tersentuh,tidak bahagia
keharuan,tidak bahagia
haru,tidak bahagia
kasian,tidak bahagia
murung,tidak bahagia
pilu,tidak bahagia
sendu,tidak bahagia
sedih,tidak bahagia
duka,tidak bahagia
dukacita,tidak bahagia
sakit hati,tidak bahagia
pedih hati,tidak bahagia
patah hati,tidak bahagia
remuk hati,tidak bahagia
frustasi,tidak bahagia
putus asa,tidak bahagia
putus harapan,tidak bahagia
berat hati,tidak bahagia
penyesal,tidak bahagia
sesal,tidak bahagia
murung,tidak bahagia
berat,tidak bahagia
hancur,tidak bahagia
jijik,tidak bahagia
kecewa,tidak bahagia
menangis,tidak bahagia
cemburu,tidak bahagia
dikhianati,tidak bahagia
terpencil,tidak bahagia
syok,tidak bahagia
mengecewakan,tidak bahagia
luka,tidak bahagia
gangguan,tidak bahagia
rusak,tidak bahagia
dikritik,tidak bahagia
disalahgunakan,tidak bahagia
hancur,tidak bahagia
dihukum,tidak bahagia
ditolak,tidak bahagia
terlupakan,tidak bahagia
sakit hati,tidak bahagia
acuh,tidak bahagia
bosan,tidak bahagia
membosankan,tidak bahagia
lelah,tidak bahagia
tidak berdaya,tidak bahagia
lesu,tidak bahagia
astaga,tidak bahagia
bosan,tidak bahagia
jenuh,tidak bahagia
cemburu,tidak bahagia
curiga,tidak bahagia
tinggi hati,tidak bahagia
iri,tidak bahagia
dengki,tidak bahagia
berdengki,tidak bahagia
gemas,tidak bahagia
gregetan,tidak bahagia
ngambek,tidak bahagia
histeris,tidak bahagia
senewen,tidak bahagia
emosi,tidak bahagia
kesal,tidak bahagia
sebal,tidak bahagia
mangkel,tidak bahagia
dongkol,tidak bahagia
jengkel,tidak bahagia
panas hati,tidak bahagia
kalap,tidak bahagia
murka,tidak bahagia
naik darah,tidak bahagia
naik pitam,tidak bahagia
marah,tidak bahagia
berang,tidak bahagia
geram,tidak bahagia
gentar,tidak bahagia
takut,tidak bahagia
berdebar,tidak bahagia
kebat kebit,tidak bahagia
kalut,tidak bahagia
gusar,tidak bahagia
kecemasan,tidak bahagia
cemas,tidak bahagia
kawatir,tidak bahagia
waswas,tidak bahagia
bimbang,tidak bahagia
bingung,tidak bahagia
galau,tidak bahagia
gundah,tidak bahagia
gelisah,tidak bahagia
risau,tidak bahagia
