Tweet,Label
Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah,Negative
Film king Arthur ini film paling jelek dari seluruh cerita King Arthur,Negative
@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya,Negative
Ane ga suka fast and furious..menurutku kok jelek ya tu film,Negative
"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v",Negative
tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!,Negative
"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.",Negative
Kecewa parah sama film the guys. Dear @radityadika sorry to say this.,Negative
Banyak yg kecewa abis nonton film ini :(,Negative
#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.,Negative
"film jelek, jelas. Ga ada isinya.",Negative
awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :(,Negative
"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",Negative
"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol",Negative
"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.",Negative
"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya",Negative
Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.,Negative
satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p,Negative
Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.,Negative
"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.",Negative
"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan.",Negative
"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga",Negative
duh ini film ribet banget ...,Negative
"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?",Negative
"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri",Negative
"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah.",Negative
Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter,Negative
ogah nonton lagi saya. Kecewa ama itu film,Negative
"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget",Negative
Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu,Negative
"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.",Negative
"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan.",Negative
